Nord-du-Québec, 56.08861, -64.72778
Nord-du-Québec, 61.40444, -71.58083
Le Haut-Saint-Laurent, 45.13833, -73.92028
Nord-du-Québec, 62.26167, -75.58555
Nord-du-Québec, 62.28083, -75.56528
Nord-du-Québec, 55.01139, -78.44167
Nord-du-Québec, 58.83306, -65.79167
Nord-du-Québec, 60.15972, -69.70750
Nord-du-Québec, 61.54556, -71.71528
Nord-du-Québec, 62.26694, -75.03805
Nord-du-Québec, 62.33850, -76.11913
Nord-du-Québec, 58.33278, -77.88917
Nord-du-Québec, 59.20417, -77.97278
Montréal, 45.45889, -73.63028
Memphrémagog, 45.23194, -72.06444
Minganie – Le Golfe-du-Saint-Laurent, 51.62472, -57.26917
Témiscamingue, 46.90306, -78.85972
Nord-du-Québec, 59.90000, -73.62278
Nord-du-Québec, 58.29111, -77.45306
